ROW_ID,ORDER_ID,ORDER_DATE,SHIP_DATE,SHIP_MODE,CUSTOMER_ID,CUSTOMER_NAME,SEGMENT,COUNTRY,CITY,STATE,POSTAL_CODE,REGION,PRODUCT_ID,CATEGORY,SUB_CATEGORY,PRODUCT_NAME,SALES,QUANTITY,DISCOUNT,PROFIT,YEAR
,CA-2021-167199,2021-08-02,2021-08-03,First Class,ZZ-17320,Sama,Home Office,United States,Henderson,Kentucky,42420,Central,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,20,2,0,12,2021
,O2120,2021-08-15,2021-08-18,Second Class,C1319,Vishvaja,Consumer,United States,Henderson,Kentucky,42420,Central,P5160,Office Supplies,Storage,WD My Passport HDD,384,9,0,108,2021
,CA-2017-167199,2016-12-26,2017-01-01,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,West,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,624,2,0,274,2016
,CA-2017-167199,2017-01-01,2017-01-02,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,West,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,20,2,0,1,2017
,CA-2017-167199,2017-01-02,2017-01-03,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,West,TEC-PH-10004977,Technology,Phones,GE 30524EE4,406,2,0,113,2017
,CA-2017-167199,2017-01-03,2017-01-04,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,West,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,770,4,0,204,2017
,CA-2017-103800,2017-01-03,2017-01-07,Standard Class,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,77095,West,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16,2,0,5,2017
,CA-2017-167199,2017-01-04,2017-01-05,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,West,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",46,4,0,0,2017
,CA-2017-106054,2017-01-04,2017-01-07,First Class,JO-15145,Jack O'Briant,Corporate,United States,Athens,Georgia,30605,West,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12,3,0,5,2017
,CA-2017-112326,2017-01-04,2017-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3,2,0,-5,2017
,CA-2017-130813,2017-01-04,2017-01-08,Second Class,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,South,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19,3,0,9,2017
,CA-2017-167199,2017-01-05,2017-01-06,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,West,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,21,1,0,3,2017
,CA-2017-112326,2017-01-05,2017-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272,3,0,-64,2017
,CA-2017-112326,2017-01-06,2017-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,11,3,0,4,2017
,CA-2017-112326,2017-01-06,2017-01-09,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,26,3,0,4,2017
,CA-2017-167199,2017-01-06,2017-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573,9,0,746,2017
,CA-2017-167199,2017-01-06,2017-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,West,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609,2,0,274,2017
